recipe_id,recipe_name,average_rating,ingredients,instructions
11,Bacon and Mushroom Spaghetti,3.5,"['spaghetti', 'bacon', 'onion', 'button mushroom', 'tomato']","To prepare Bacon and Mushroom Spaghetti, start by cooking dry spaghetti according to package instructions until al dente. While the spaghetti is cooking, cook bacon until crispy in a skillet, then remove and chop it. In the same skillet, sauté thinly sliced large sweet onion until softened, then add drained sliced mushrooms and cook until they release their moisture. Add tomato sauce to the skillet and stir until heated through. Once the spaghetti is cooked, drain it and add it to the skillet with the sauce. Toss the spaghetti until well coated with the sauce. Serve hot, topped with the chopped crispy bacon. Enjoy your delicious Bacon and Mushroom Spaghetti!"
12,Italian Spaghetti with Ham,4.4,"['spaghetti', 'ham', 'garlic', 'butter', 'cheese', 'egg', 'olives', 'parsley', 'salt', 'black pepper']","To prepare Italian Spaghetti with Ham, start by cooking spaghetti according to package instructions until al dente. While the spaghetti is cooking, sauté diced sliced ham and minced garlic in butter until the ham is lightly browned. In a separate bowl, mix grated Parmesan cheese with lightly beaten eggs. Once the spaghetti is cooked, drain it and return it to the pot. Immediately add the egg and cheese mixture to the hot spaghetti and toss until the spaghetti is evenly coated and the eggs are cooked by the residual heat. Stir in sliced black olives, chopped parsley, and salt to taste. Serve hot, topped with an extra sprinkle of grated Parmesan cheese if desired. Enjoy your flavorful Italian Spaghetti with Ham!"
13,Spaghetti Italian,4.4,"['sausage', 'tomato', 'Italian seasoning', 'garlic', 'basil', 'dried oregano', 'salt', 'black pepper', 'spaghetti']","To prepare Spaghetti Italian, start by cooking Italian sausage in a large skillet over medium heat until browned and cooked through. Drain any excess fat from the skillet. Add tomato sauce, diced tomatoes, bay leaves, Italian seasoning, garlic powder, dried basil, dried oregano, salt, and pepper to taste to the skillet with the cooked sausage. Stir well to combine. Simmer the sauce over low heat for about 20-25 minutes, stirring occasionally, to allow the flavors to meld together. Meanwhile, cook spaghetti according to package instructions until al dente. Once the sauce is ready and the spaghetti is cooked, drain the spaghetti and toss it with the sauce until well coated. Serve hot, topped with grated Parmesan cheese and fresh basil leaves if desired. Enjoy your delicious Spaghetti Italian!"
14,Kimbab (Korean Sushi),4.3,"['white rice', 'water', 'oil', 'salt', 'egg', 'nori', 'cucumber', 'carrot', 'cheese', 'ham']","To prepare Kimbop, start by rinsing uncooked glutinous white rice (sushi rice) under cold water until the water runs clear. Cook the rice according to package instructions, using slightly less water to achieve a firmer texture suitable for rolling. Once cooked, season the rice with a mixture of sesame oil and salt to taste, stirring gently to combine. In a skillet, cook beaten eggs into a thin omelette, then slice it into thin strips. Place a sheet of sushi nori (dry seaweed) shiny side down on a bamboo sushi mat or a clean kitchen towel. Spread a thin layer of seasoned rice evenly over the nori, leaving about an inch of space at the top edge. Arrange thinly sliced cucumber, carrot, American processed cheese, cooked ham strips, and egg strips horizontally across the center of the rice. Using the sushi mat or kitchen towel, tightly roll the nori and rice over the filling, applying gentle pressure as you roll to shape the kimbop. Seal the edge with a little water to secure the roll. Repeat the process with the remaining ingredients. Once all the kimbop rolls are assembled, use a sharp knife to slice them into bite-sized pieces. Serve the kimbop with a dipping sauce made from soy sauce mixed with a little sesame oil. Enjoy your homemade Kimbop!"
15,California Roll Sushi,4.3,"['white rice', 'water', 'rice vinegar', 'white sugar', 'imitation crabmeat', 'mayonnaise', 'nori', 'sesame seeds', 'cucumber', 'avocados']","To prepare California Roll Sushi, start by rinsing uncooked short-grain white rice under cold water until the water runs clear. Cook the rice according to package instructions, then season it with a mixture of rice vinegar, white sugar, and a pinch of salt. Let the seasoned rice cool to room temperature. In a bowl, mix finely chopped imitation crabmeat with mayonnaise until well combined. Place a sheet of nori (dry seaweed) shiny side down on a bamboo sushi mat or a clean kitchen towel. Spread a thin layer of cooked sushi rice evenly over the nori, leaving about an inch of space at the top edge. Sprinkle sesame seeds over the rice. Arrange thinly sliced cucumber and avocado horizontally across the center of the rice. Add a line of the crabmeat mixture. Using the sushi mat or kitchen towel, tightly roll the nori and rice over the filling, applying gentle pressure as you roll to shape the sushi roll. Seal the edge with a little water to secure the roll. Once rolled, use a sharp knife to slice the sushi roll into bite-sized pieces. Serve with soy sauce, pickled ginger, and wasabi on the side. Enjoy your delicious California Roll Sushi!"
16,Chicken Chow Mein,4,"['butter', 'button mushrooms', 'celery', 'onions', 'garlic', 'chicken broth', 'baby corn', 'soy sauce', 'cornstarch', 'water', 'chicken']","To prepare Chicken Chow Mein, start by heating butter in a large skillet or wok over medium-high heat. Add chopped mushrooms, chopped celery, onions, and a sprinkle of garlic powder to the skillet. Stir-fry until the vegetables are tender-crisp. Pour chicken broth into the skillet and bring to a simmer. Add baby corn, green beans, and soy sauce to the skillet. In a small bowl, mix cornstarch with cold water to make a slurry. Stir the slurry into the skillet to thicken the sauce. Once the sauce has thickened, add cooked cubed chicken meat to the skillet and stir to combine. Continue cooking until the chicken is heated through. Serve the Chicken Chow Mein hot over cooked rice or noodles. Enjoy your delicious Chicken Chow Mein!"
17,Shrimp Chinese Chow Mein,2.3,"['celery', 'onion', 'redpepper', 'shrimp', 'vegetables', button mushroom', 'soy sauce', 'green pepper', 'noodles']","To prepare Shrimp Chinese Chow Mein, start by heating oil in a large skillet or wok over medium-high heat. Add chopped celery, onion, and red bell pepper to the skillet and stir-fry until they begin to soften. Add fresh shrimp to the skillet and cook until they turn pink and opaque. Stir in mixed vegetables and cook until they are heated through. Add condensed cream of mushroom soup and soy sauce to the skillet, stirring until well combined. Add green bell pepper and continue to cook until all ingredients are heated through and the sauce thickens slightly. Meanwhile, cook chow mein noodles according to package instructions until al dente. Drain the noodles and add them to the skillet, tossing to coat them evenly with the shrimp and vegetable mixture. Serve hot and enjoy your delicious Shrimp Chinese Chow Mein!"
18,Pork Chow Mein,4.4,"['oil', 'pork', 'onion', 'button mushrooms', 'chicken broth', 'celery', 'salt', 'black pepper', 'soy sauce', 'cornstarch']","To prepare Pork Chow Mein, start by heating oil in a large skillet or wok over medium-high heat. Add 1-inch pieces of pork to the skillet and cook until browned on all sides. Remove the pork from the skillet and set aside. In the same skillet, add chopped onion and sliced mushrooms. Stir-fry until the vegetables are tender. Return the cooked pork to the skillet. Add chicken broth, sliced celery, salt, and black pepper to the skillet. Simmer until the pork is cooked through and the vegetables are tender. Stir in fresh bean sprouts and sliced almonds. In a small bowl, mix together reduced-sodium soy sauce and cornstarch to make a slurry. Stir the slurry into the skillet to thicken the sauce. Cook until the sauce is thickened and heated through. Serve hot and enjoy your delicious Pork Chow Mein!"
19,Peking Duck,4.5,"['duck', 'cinnamon', 'ginger', 'nutmeg', 'black pepper', 'cloves', 'soy sauce', 'honey', 'parsley', 'green onions', 'plum jam', 'white sugar', 'white vinegar']","To prepare Peking Duck, start by rinsing and drying the dressed duck. In a small bowl, combine ground cinnamon, ground ginger, ground nutmeg, ground white pepper, and ground cloves to create a spice rub. Rub the spice mixture evenly over the duck, ensuring it's coated on all sides. In another bowl, mix soy sauce and honey to create a glaze. Brush the glaze over the duck. Stuff the cavity of the duck with orange slices, chopped fresh parsley, and green onions. Preheat your oven to the desired temperature. Place the duck on a roasting rack in a roasting pan and roast according to the cooking instructions for duck, usually until the skin is crispy and golden brown and the internal temperature reaches a safe level. While the duck is roasting, prepare the sauce by combining plum jam, sugar, distilled white vinegar, and finely chopped chutney in a saucepan. Cook over medium heat until the mixture thickens into a sauce. Once the duck is done, let it rest for a few minutes before carving. Serve the carved Peking Duck with the sauce on the side. Enjoy your flavorful and aromatic Peking Duck!"
20,Roasted Duck,4.6,"['salt', 'paprika', 'black pepper', 'duck', 'butter']","To prepare Roasted Duck, start by preheating your oven to the desired temperature. In a small bowl, mix salt, paprika, and black pepper to create a seasoning blend. Pat the duck dry with paper towels, then rub the seasoning mixture evenly over the duck, ensuring it's coated on all sides. Place the duck on a roasting rack in a roasting pan. Brush the duck with melted butter to help crisp up the skin and add flavor. Roast the duck in the preheated oven until the skin is crispy and golden brown and the internal temperature reaches a safe level, following the cooking instructions for duck. Once done, remove the duck from the oven and let it rest for a few minutes before carving. Serve the carved Roasted Duck hot, and enjoy its succulent flavor!"
21,Apple Pie,4.7,"[‘pie crust’, ‘flour’, ‘butter’, ‘salt’, ‘water’, ‘apple’, ‘whitesugar’, ‘cornstarch’, ‘cinnamon’, ‘nutmeg’, ‘lemon’, ‘butter’, ‘egg’]","To make an apple pie, start by preparing the pie crust: mix flour and salt, cut in butter, add water, and chill. For the filling, toss sliced apples with sugar, flour, cornstarch, cinnamon, nutmeg, and lemon juice. Roll out the chilled dough, line a pie dish, fill with the apple mixture, and dot with butter. Cover with a second crust, seal and vent. Brush with beaten egg and bake at 375°F for 45-55 minutes until golden brown. Let cool before serving. Enjoy your delicious homemade apple pie!"
22,Omelette,4.8,"[‘eggs’, ‘salt’, ‘pepper’, ‘oil’, ‘spinach’]","To make a omelette, start by whisking together eggs, salt, and pepper in a bowl. Heat oil in a non-stick skillet over medium heat. Add fresh spinach leaves and cook until wilted. Pour the egg mixture over the spinach in the skillet. As the eggs start to set, gently lift the edges with a spatula, allowing the uncooked eggs to flow underneath. Once the eggs are mostly set, fold the omelette in half and cook for another minute until fully cooked through. Slide the omelette onto a plate and serve hot. Enjoy your flavorful spinach omelette!"
23,Mashed Potato,4.2,"[‘potato’, ‘butter’, ‘milk’, ‘cream’, ‘salt’, ‘black pepper’]","To make mashed potatoes, start by peeling and chopping potatoes into evenly sized pieces. Place the potatoes in a large pot of cold salted water and bring to a boil. Cook until the potatoes are fork-tender, then drain well. Return the potatoes to the pot and mash them with a potato masher or fork until smooth. In a small saucepan, heat butter, milk, and cream until warm but not boiling. Gradually pour the warm butter and dairy mixture into the mashed potatoes, stirring continuously until well combined and creamy. Season with salt and pepper to taste, adjusting as needed. Serve hot as a delicious side dish. Enjoy your homemade mashed potatoes!"
24,Egg Curry,4.5,"[‘eggs’, 'onion’, ‘tomato’, ‘garlic’, ‘ginger’, ‘green pepper’, ‘oil’, ‘coriander’, ‘chili powder’, ‘masala’, ‘salt’, ‘water’, ‘chickenbroth’]","To make Egg Curry, start by sautéing chopped onion in oil until golden brown. Add minced garlic, ginger, and chopped green chilies, cooking until fragrant. Stir in chopped tomato until soft. Season with coriander, chili powder, garam masala, and salt. Pour in water or broth to create the curry base. Gently add hard-boiled eggs and simmer until heated through. Garnish with chopped coriander and serve hot with rice or bread. Enjoy your delicious Egg Curry!"
25,Chicken Stir Fry,4.7,"['chicken breast', 'red pepper', 'green pepper', 'onion', 'carrots', 'broccoli', 'garlic', 'ginger', 'soy sauce', 'sesame oil', 'cornstarch', 'salt', 'black pepper', 'vegetable oil']","To make Chicken Stir-Fry, start by slicing chicken breast into thin strips and marinate them with soy sauce, minced garlic, grated ginger, cornstarch, salt, and black pepper. Heat vegetable oil in a pan or wok over high heat. Add the marinated chicken and stir-fry until cooked through and browned. Remove the chicken from the pan and set aside. In the same pan, add more oil if needed and stir-fry sliced bell peppers, onions, carrots, and broccoli florets until they are crisp-tender. Return the cooked chicken to the pan and toss everything together. Add a splash of soy sauce and sesame oil for flavor. Adjust seasoning if necessary. Serve hot with steamed rice or noodles. Enjoy your flavorful Chicken Stir-Fry!"
26,Shrimp Pasta,4.8,"['shrimp', 'pasta', 'garlic', 'butter', 'olive oil', 'tomatoes', 'spinach leaves', 'lemon', 'red pepper', 'salt', 'black pepper', 'cheese']","To make Garlic Shrimp Pasta, start by cooking spaghetti pasta according to package instructions until al dente. While the pasta is cooking, heat butter and olive oil in a large skillet over medium heat. Add minced garlic and sauté until fragrant, but not browned. Add shrimp to the skillet and cook until pink and opaque, seasoning with salt, black pepper, and red pepper flakes to taste. Stir in halved cherry tomatoes and spinach leaves, cooking until the spinach wilts. Squeeze fresh lemon juice over the shrimp mixture and toss to combine. Once the pasta is cooked, drain it and add it to the skillet with the shrimp mixture. Toss everything together until well combined. Serve hot, garnished with freshly grated Parmesan cheese. Enjoy your delicious Garlic Shrimp Pasta!"
27,Vegetable Fried Rice,4.6,"['basmatirice', 'carrots', 'bell peppers', 'peas', 'corn', 'onion', 'garlic', 'ginger', 'soy sauce', 'sesame oil', 'vegetable oil', 'salt', 'black pepper', 'green onions']","To make Vegetable Fried Rice, start by heating vegetable oil in a large skillet or wok over medium-high heat. Add finely chopped garlic and ginger, and sauté until fragrant. Add diced onion and cook until translucent. Stir in diced carrots, bell peppers, peas, and corn kernels, and cook until vegetables are tender yet crisp. Push the vegetables to one side of the pan and add the cooked rice to the empty side. Drizzle soy sauce and sesame oil over the rice, then toss everything together until well combined. Season with salt and black pepper to taste. Stir in chopped green onions for added flavor. Continue to cook for a few more minutes until the rice is heated through. Serve hot as a flavorful side dish or a main course. Enjoy your tasty Vegetable Fried Rice!"
28,Vegetable Lentil Soup,4.4,"['lentils', 'carrots', 'celery', 'onion', 'garlic', 'tomatoes', 'vegetable broth', 'bay leaves', 'thyme', 'salt', 'black pepper']","To make Vegetable Lentil Soup, start by rinsing the lentils under cold water and setting them aside. Heat olive oil in a large pot over medium heat. Add diced onion, carrots, and celery, and sauté until they begin to soften. Stir in minced garlic and cook until fragrant. Add diced tomatoes (fresh or canned) and drained lentils to the pot. Pour in vegetable broth and add bay leaves and thyme. Bring the soup to a simmer, then reduce the heat and let it cook for about 25-30 minutes, or until the lentils are tender. Season with salt and black pepper to taste. Remove the bay leaves before serving. Ladle the soup into bowls and garnish with fresh parsley if desired. Serve hot with crusty bread for a comforting and nutritious meal. Enjoy your hearty Vegetable Lentil Soup!"
29,Broccoli Cheddar Soup,3.8,"['broccoli, 'onion', 'garlic', 'carrot', 'celery', 'potato', 'broth', 'milk', 'cheese', 'butter', 'flour', 'salt', 'black pepper', 'nutmeg']","To make Broccoli Cheddar Soup, start by melting butter in a large pot over medium heat. Add diced onion, minced garlic, chopped carrot, and celery, and cook until the vegetables are softened. Stir in diced potato and broccoli florets, then pour in vegetable broth. Bring the mixture to a boil, then reduce the heat and let it simmer until the vegetables are tender. In a separate small saucepan, melt additional butter and stir in flour to create a roux. Cook the roux for a few minutes until it becomes golden brown. Slowly pour in milk while whisking constantly to prevent lumps from forming. Continue cooking until the mixture thickens. Once the vegetables are tender, use an immersion blender or transfer the soup to a blender to puree until smooth. Return the pureed soup to the pot and stir in the prepared roux mixture. Add grated cheddar cheese to the soup, stirring until melted and creamy. Season with salt, black pepper, and nutmeg (if using) to taste. Simmer the soup for a few more minutes until heated through. Ladle the Broccoli Cheddar Soup into bowls and serve hot with crusty bread or crackers. Enjoy the comforting and cheesy goodness of this delicious soup!"
30,Thai Red Curry,4.2,"['chicken', 'red curry paste', 'coconut milk', 'red peppers', 'onion', 'bamboo shoots', 'carrots', 'fish sauce', 'sugar', 'lime leaves', 'basil', 'salt']","To prepare Thai Red Curry, start by heating a tablespoon of oil in a pan and sautéing sliced chicken until it's browned. Add red curry paste and cook for a minute until fragrant. Pour in coconut milk and bring it to a gentle simmer. Stir in sliced bell peppers, onions, bamboo shoots, and carrots. Season the curry with fish sauce, brown sugar, and torn lime leaves for a citrusy flavor. Let the curry simmer until the vegetables are tender. Finish by adding Thai basil leaves for freshness. Adjust the seasoning with salt if necessary. Serve hot with steamed rice and enjoy your aromatic Thai Red Curry!"
